FinanceKey,Date,OrganizationKey,DepartmentGroupKey,AccountKey,Scenario,Amount
1,"Wednesday, December 29, 2010",8,6,52,Actual,2102.64
2,"Wednesday, December 29, 2010",8,6,53,Actual,4205.7
3,"Wednesday, December 29, 2010",8,6,56,Actual,73593.36
4,"Wednesday, December 29, 2010",8,6,57,Actual,8761.85
5,"Wednesday, December 29, 2010",8,6,60,Actual,24000.01
6,"Wednesday, December 29, 2010",8,6,61,Actual,2401.13
7,"Wednesday, December 29, 2010",8,6,62,Actual,1201.1
8,"Wednesday, December 29, 2010",8,6,63,Actual,8411.84
9,"Wednesday, December 29, 2010",8,6,65,Actual,243.51
10,"Wednesday, December 29, 2010",8,6,66,Actual,220.78
11,"Wednesday, December 29, 2010",8,6,67,Actual,122.3
12,"Wednesday, December 29, 2010",8,6,68,Actual,91.99
13,"Wednesday, December 29, 2010",8,6,69,Actual,25.32
14,"Wednesday, December 29, 2010",8,6,71,Actual,49.57
15,"Wednesday, December 29, 2010",8,6,72,Actual,420.79
16,"Wednesday, December 29, 2010",8,6,73,Actual,198.05
17,"Wednesday, December 29, 2010",8,6,74,Actual,214.72
18,"Wednesday, December 29, 2010",8,6,76,Actual,1787.48
19,"Wednesday, December 29, 2010",8,6,77,Actual,492
20,"Wednesday, December 29, 2010",8,6,78,Actual,163.21
21,"Wednesday, December 29, 2010",8,6,80,Actual,598.06
22,"Wednesday, December 29, 2010",8,6,81,Actual,370.79
23,"Wednesday, December 29, 2010",8,6,82,Actual,37.45
24,"Wednesday, December 29, 2010",8,6,83,Actual,126.84
25,"Wednesday, December 29, 2010",8,6,84,Actual,107.14
26,"Wednesday, December 29, 2010",8,6,85,Actual,101.08
27,"Wednesday, December 29, 2010",8,6,87,Actual,546.55
28,"Wednesday, December 29, 2010",8,6,89,Actual,104.11
29,"Wednesday, December 29, 2010",8,6,90,Actual,160.18
30,"Wednesday, December 29, 2010",8,6,91,Actual,-126.19
31,"Wednesday, December 29, 2010",8,6,92,Actual,213.21
32,"Wednesday, December 29, 2010",8,6,94,Actual,17008.97
33,"Wednesday, December 29, 2010",8,6,51,Actual,210286.82
1021,"Saturday, January 29, 2011",8,6,52,Actual,23090.91
