Year,MonthNo,CountryCode,ProductKey,UnitCost,Date
2013,1,US,584,97.2,"Tuesday, January 1, 2013"
2013,1,US,596,97.2,"Tuesday, January 1, 2013"
2013,1,US,597,97.2,"Tuesday, January 1, 2013"
2013,1,US,598,97.2,"Tuesday, January 1, 2013"
2013,1,US,599,97.2,"Tuesday, January 1, 2013"
2013,1,US,600,97.2,"Tuesday, January 1, 2013"
2013,1,US,604,97.2,"Tuesday, January 1, 2013"
2013,1,US,214,6.147,"Tuesday, January 1, 2013"
2013,1,US,217,6.153,"Tuesday, January 1, 2013"
2013,1,US,222,6.156,"Tuesday, January 1, 2013"
2013,1,US,225,1.605,"Tuesday, January 1, 2013"
2013,1,US,231,8.976,"Tuesday, January 1, 2013"
2013,1,US,234,8.931,"Tuesday, January 1, 2013"
2013,1,US,237,8.994,"Tuesday, January 1, 2013"
2013,1,US,240,257.67,"Tuesday, January 1, 2013"
2013,1,US,243,257.67,"Tuesday, January 1, 2013"
2013,1,US,246,257.67,"Tuesday, January 1, 2013"
2013,1,US,255,60.702,"Tuesday, January 1, 2013"
2013,1,US,258,60.702,"Tuesday, January 1, 2013"
2013,1,US,281,60.702,"Tuesday, January 1, 2013"
2013,1,US,287,60.672,"Tuesday, January 1, 2013"
2013,1,US,290,245.61,"Tuesday, January 1, 2013"
2013,1,US,295,245.61,"Tuesday, January 1, 2013"
2013,1,US,298,242.928,"Tuesday, January 1, 2013"
2013,1,US,306,242.928,"Tuesday, January 1, 2013"
2013,1,US,309,245.568,"Tuesday, January 1, 2013"
2013,1,US,353,417.219,"Tuesday, January 1, 2013"
2013,1,US,355,417.231,"Tuesday, January 1, 2013"
2013,1,US,357,417.39,"Tuesday, January 1, 2013"
2013,1,US,359,412.53,"Tuesday, January 1, 2013"
2013,1,US,361,412.593,"Tuesday, January 1, 2013"
2013,1,US,363,412.908,"Tuesday, January 1, 2013"
2013,1,US,372,439.803,"Tuesday, January 1, 2013"
2013,1,US,374,439.803,"Tuesday, January 1, 2013"
2013,1,US,376,439.734,"Tuesday, January 1, 2013"
2013,1,US,378,439.803,"Tuesday, January 1, 2013"
2013,1,US,380,439.803,"Tuesday, January 1, 2013"
2013,1,US,382,201.66,"Tuesday, January 1, 2013"
2013,1,US,384,201.657,"Tuesday, January 1, 2013"
2013,1,US,386,201.69,"Tuesday, January 1, 2013"
2013,1,US,388,201.69,"Tuesday, January 1, 2013"
2013,1,US,390,201.609,"Tuesday, January 1, 2013"
2013,1,US,398,8.01,"Tuesday, January 1, 2013"
2013,1,US,400,11.145,"Tuesday, January 1, 2013"
2013,1,US,402,21.651,"Tuesday, January 1, 2013"
2013,1,US,404,8.019,"Tuesday, January 1, 2013"
2013,1,US,408,21.651,"Tuesday, January 1, 2013"
2013,1,US,418,107.07,"Tuesday, January 1, 2013"
2013,1,US,430,107.07,"Tuesday, January 1, 2013"
2013,1,US,434,107.031,"Tuesday, January 1, 2013"
2013,1,US,436,107.07,"Tuesday, January 1, 2013"
2013,1,US,440,257.67,"Tuesday, January 1, 2013"
2013,1,US,442,257.67,"Tuesday, January 1, 2013"
2013,1,US,463,4.401,"Tuesday, January 1, 2013"
2013,1,US,465,4.386,"Tuesday, January 1, 2013"
2013,1,US,467,4.41,"Tuesday, January 1, 2013"
2013,1,US,471,11.238,"Tuesday, January 1, 2013"
2013,1,US,472,11.364,"Tuesday, January 1, 2013"
2013,1,US,473,11.43,"Tuesday, January 1, 2013"
2013,1,US,474,12.33,"Tuesday, January 1, 2013"
2013,1,US,475,12.6,"Tuesday, January 1, 2013"
2013,1,US,476,12.351,"Tuesday, January 1, 2013"
2013,1,US,477,0.894,"Tuesday, January 1, 2013"
2013,1,US,480,0.414,"Tuesday, January 1, 2013"
2013,1,US,481,1.617,"Tuesday, January 1, 2013"
2013,1,US,482,1.602,"Tuesday, January 1, 2013"
2013,1,US,483,21.441,"Tuesday, January 1, 2013"
2013,1,US,484,1.422,"Tuesday, January 1, 2013"
2013,1,US,487,9.843,"Tuesday, January 1, 2013"
2013,1,US,488,9.696,"Tuesday, January 1, 2013"
2013,1,US,490,9.663,"Tuesday, January 1, 2013"
2013,1,US,491,9.603,"Tuesday, January 1, 2013"
2013,1,US,492,180.615,"Tuesday, January 1, 2013"
2013,1,US,493,59.979,"Tuesday, January 1, 2013"
2013,1,US,494,180.705,"Tuesday, January 1, 2013"
