ReturnKey,ReturnDate,OrderDate,SalesOrderNumber,CustomerKey,ProductKey,ReturnQuantity,UnitPrice
5,"Monday, May 16, 2011","Sunday, May 1, 2011",SO44570,218,328,2,419.459
85,"Saturday, November 19, 2011","Saturday, October 29, 2011",SO46105,218,340,2,419.459
966,"Monday, February 7, 2011","Saturday, January 29, 2011",SO43912,403,342,2,419.459
967,"Wednesday, May 11, 2011","Sunday, May 1, 2011",SO44555,612,342,2,419.459
968,"Monday, August 22, 2011","Monday, August 1, 2011",SO45288,584,342,2,419.459
969,"Thursday, September 15, 2011","Monday, August 29, 2011",SO45520,57,342,2,419.459
970,"Sunday, September 11, 2011","Monday, August 29, 2011",SO45578,26,342,2,419.459
971,"Sunday, December 11, 2011","Tuesday, November 29, 2011",SO46331,631,342,2,419.459
972,"Thursday, December 15, 2011","Tuesday, November 29, 2011",SO46356,91,322,2,419.459
973,"Tuesday, January 11, 2011","Wednesday, December 29, 2010",SO43673,618,324,2,419.459
974,"Saturday, February 12, 2011","Saturday, January 29, 2011",SO43845,206,324,2,419.459
975,"Monday, February 7, 2011","Saturday, January 29, 2011",SO43857,533,326,2,419.459
976,"Thursday, February 10, 2011","Saturday, January 29, 2011",SO43910,45,330,2,419.459
977,"Saturday, March 19, 2011","Tuesday, March 1, 2011",SO44124,3,330,2,419.459
978,"Thursday, May 12, 2011","Sunday, May 1, 2011",SO44500,259,326,2,419.459
979,"Friday, May 20, 2011","Sunday, May 1, 2011",SO44521,240,330,2,419.459
980,"Sunday, June 12, 2011","Tuesday, May 31, 2011",SO44778,575,324,2,419.459
981,"Tuesday, July 12, 2011","Friday, July 1, 2011",SO45060,203,324,2,419.459
982,"Thursday, August 18, 2011","Monday, August 1, 2011",SO45340,495,326,2,419.459
983,"Sunday, September 11, 2011","Monday, August 29, 2011",SO45572,438,324,2,419.459
984,"Monday, September 5, 2011","Monday, August 29, 2011",SO45575,54,330,2,419.459
985,"Saturday, November 5, 2011","Saturday, October 29, 2011",SO46055,527,320,2,419.459
986,"Sunday, December 11, 2011","Tuesday, November 29, 2011",SO46324,216,324,2,419.459
987,"Tuesday, December 20, 2011","Tuesday, November 29, 2011",SO46356,91,320,2,419.459
988,"Monday, December 12, 2011","Tuesday, November 29, 2011",SO46359,460,330,2,419.459
989,"Monday, December 19, 2011","Tuesday, November 29, 2011",SO46356,91,330,2,419.459
990,"Tuesday, March 8, 2011","Tuesday, March 1, 2011",SO44093,93,328,2,419.459
991,"Tuesday, March 8, 2011","Tuesday, March 1, 2011",SO44109,91,332,2,419.459
992,"Wednesday, May 11, 2011","Sunday, May 1, 2011",SO44562,45,338,2,419.459
993,"Wednesday, July 20, 2011","Friday, July 1, 2011",SO45039,227,332,2,419.459
994,"Sunday, July 10, 2011","Friday, July 1, 2011",SO45053,618,328,2,419.459
995,"Sunday, July 17, 2011","Friday, July 1, 2011",SO45058,480,332,2,419.459
996,"Friday, August 12, 2011","Monday, August 1, 2011",SO45314,136,328,2,419.459
997,"Tuesday, September 6, 2011","Monday, August 29, 2011",SO45550,579,340,2,419.459
998,"Saturday, October 15, 2011","Thursday, September 29, 2011",SO45786,514,340,2,419.459
999,"Friday, October 14, 2011","Thursday, September 29, 2011",SO45810,166,334,2,419.459
1000,"Sunday, December 18, 2011","Tuesday, November 29, 2011",SO46368,143,336,2,419.459
1001,"Saturday, January 15, 2011","Wednesday, December 29, 2010",SO43666,511,338,2,419.459
1002,"Saturday, June 11, 2011","Tuesday, May 31, 2011",SO44755,273,334,2,419.459
1003,"Friday, June 10, 2011","Tuesday, May 31, 2011",SO44755,273,340,2,419.459
1004,"Monday, June 20, 2011","Tuesday, May 31, 2011",SO44755,273,336,2,419.459
1005,"Monday, February 14, 2011","Saturday, January 29, 2011",SO43855,102,338,2,419.459
1006,"Sunday, April 10, 2011","Thursday, March 31, 2011",SO44286,511,338,2,419.459
1007,"Thursday, April 7, 2011","Thursday, March 31, 2011",SO44286,511,334,2,419.459
1008,"Saturday, May 21, 2011","Sunday, May 1, 2011",SO44535,136,334,2,419.459
1009,"Wednesday, May 11, 2011","Sunday, May 1, 2011",SO44525,569,334,2,419.459
1010,"Sunday, May 22, 2011","Sunday, May 1, 2011",SO44525,569,338,2,419.459
1011,"Monday, May 16, 2011","Sunday, May 1, 2011",SO44496,191,338,2,419.459
1012,"Thursday, April 14, 2011","Thursday, March 31, 2011",SO44296,670,340,2,419.459
1013,"Saturday, April 16, 2011","Thursday, March 31, 2011",SO44296,670,338,2,419.459
1014,"Monday, April 18, 2011","Thursday, March 31, 2011",SO44296,670,334,2,419.459
1015,"Sunday, May 8, 2011","Sunday, May 1, 2011",SO44506,584,334,2,419.459
1016,"Wednesday, July 20, 2011","Friday, July 1, 2011",SO45055,670,334,2,419.459
1017,"Sunday, July 10, 2011","Friday, July 1, 2011",SO45065,549,336,2,419.459
1018,"Saturday, July 9, 2011","Friday, July 1, 2011",SO45065,549,334,2,419.459
1019,"Friday, August 19, 2011","Monday, August 1, 2011",SO45305,569,334,2,419.459
1020,"Saturday, August 20, 2011","Monday, August 1, 2011",SO45326,364,336,2,419.459
1021,"Wednesday, August 10, 2011","Monday, August 1, 2011",SO45326,364,334,2,419.459
1022,"Monday, September 12, 2011","Monday, August 29, 2011",SO45556,575,334,2,419.459
1023,"Sunday, September 11, 2011","Monday, August 29, 2011",SO45575,54,334,2,419.459
1024,"Friday, October 14, 2011","Thursday, September 29, 2011",SO45786,514,338,2,419.459
1025,"Thursday, October 13, 2011","Thursday, September 29, 2011",SO45795,670,338,2,419.459
1026,"Wednesday, November 9, 2011","Saturday, October 29, 2011",SO46045,584,340,2,419.459
1027,"Wednesday, November 16, 2011","Saturday, October 29, 2011",SO46045,584,334,2,419.459
1028,"Friday, November 18, 2011","Saturday, October 29, 2011",SO46055,527,338,2,419.459
1029,"Friday, November 11, 2011","Saturday, October 29, 2011",SO46055,527,340,2,419.459
1030,"Friday, November 18, 2011","Saturday, October 29, 2011",SO46076,167,334,2,419.459
1031,"Wednesday, November 9, 2011","Saturday, October 29, 2011",SO46086,84,338,2,419.459
1032,"Monday, November 14, 2011","Saturday, October 29, 2011",SO46096,532,336,2,419.459
1033,"Saturday, December 17, 2011","Tuesday, November 29, 2011",SO46325,57,334,2,419.459
1034,"Tuesday, December 13, 2011","Tuesday, November 29, 2011",SO46326,173,340,2,419.459
1035,"Thursday, December 15, 2011","Tuesday, November 29, 2011",SO46355,647,340,2,419.459
1036,"Monday, December 12, 2011","Tuesday, November 29, 2011",SO46356,91,336,2,419.459
1037,"Tuesday, December 20, 2011","Tuesday, November 29, 2011",SO46356,91,338,2,419.459
1038,"Tuesday, December 20, 2011","Tuesday, November 29, 2011",SO46356,91,340,2,419.459
1039,"Sunday, December 18, 2011","Tuesday, November 29, 2011",SO46385,54,340,2,419.459
1040,"Wednesday, February 9, 2011","Saturday, January 29, 2011",SO43865,328,328,2,419.459
1041,"Sunday, February 6, 2011","Saturday, January 29, 2011",SO43845,206,328,2,419.459
1042,"Friday, April 15, 2011","Thursday, March 31, 2011",SO44315,292,328,2,419.459
1043,"Thursday, May 19, 2011","Sunday, May 1, 2011",SO44506,584,328,2,419.459
1044,"Wednesday, April 13, 2011","Thursday, March 31, 2011",SO44316,431,328,2,419.459
1045,"Tuesday, August 9, 2011","Monday, August 1, 2011",SO45285,36,328,2,419.459
1046,"Monday, August 22, 2011","Monday, August 1, 2011",SO45305,569,328,2,419.459
1047,"Thursday, September 15, 2011","Monday, August 29, 2011",SO45516,647,328,2,419.459
1048,"Tuesday, September 13, 2011","Monday, August 29, 2011",SO45535,93,328,2,419.459
1049,"Saturday, October 8, 2011","Thursday, September 29, 2011",SO45795,670,328,2,419.459
1050,"Sunday, November 13, 2011","Saturday, October 29, 2011",SO46076,167,328,2,419.459
1051,"Thursday, December 15, 2011","Tuesday, November 29, 2011",SO46356,91,328,2,419.459
1052,"Monday, February 7, 2011","Saturday, January 29, 2011",SO43845,206,332,2,419.459
1053,"Sunday, February 13, 2011","Saturday, January 29, 2011",SO43855,102,332,2,419.459
1054,"Monday, June 20, 2011","Tuesday, May 31, 2011",SO44765,156,332,2,419.459
1055,"Saturday, May 14, 2011","Sunday, May 1, 2011",SO44515,107,332,2,419.459
1056,"Thursday, June 16, 2011","Tuesday, May 31, 2011",SO44796,438,332,2,419.459
1057,"Wednesday, July 13, 2011","Friday, July 1, 2011",SO45065,549,332,2,419.459
1058,"Sunday, August 14, 2011","Monday, August 1, 2011",SO45305,569,332,2,419.459
1059,"Saturday, September 17, 2011","Monday, August 29, 2011",SO45535,93,332,2,419.459
1060,"Thursday, September 8, 2011","Monday, August 29, 2011",SO45575,54,332,2,419.459
1061,"Thursday, October 20, 2011","Thursday, September 29, 2011",SO45805,549,332,2,419.459
1062,"Monday, November 7, 2011","Saturday, October 29, 2011",SO46085,528,332,2,419.459
1063,"Saturday, December 17, 2011","Tuesday, November 29, 2011",SO46356,91,332,2,419.459
1,"Monday, January 10, 2011","Wednesday, December 29, 2010",SO43665,146,348,2,2024.994
2,"Tuesday, February 15, 2011","Saturday, January 29, 2011",SO43867,145,296,2,714.704
3,"Thursday, April 7, 2011","Thursday, March 31, 2011",SO44285,397,351,2,2024.994
4,"Saturday, May 21, 2011","Sunday, May 1, 2011",SO44540,469,212,2,20.187
6,"Sunday, June 12, 2011","Tuesday, May 31, 2011",SO44792,20,349,2,2024.994
7,"Thursday, July 14, 2011","Friday, July 1, 2011",SO45043,146,350,2,2024.994
8,"Wednesday, August 17, 2011","Monday, August 1, 2011",SO45344,218,317,2,874.794
9,"Friday, September 16, 2011","Monday, August 29, 2011",SO45521,272,344,2,2039.994
10,"Tuesday, November 8, 2011","Saturday, October 29, 2011",SO46025,271,232,2,28.84
11,"Monday, November 7, 2011","Saturday, October 29, 2011",SO46042,1,264,2,183.938
12,"Sunday, November 6, 2011","Saturday, October 29, 2011",SO46053,145,232,2,28.84
13,"Saturday, November 12, 2011","Saturday, October 29, 2011",SO46060,73,345,2,2039.994
14,"Friday, November 18, 2011","Saturday, October 29, 2011",SO46077,469,347,2,2039.994
15,"Wednesday, November 16, 2011","Saturday, October 29, 2011",SO46100,433,314,2,2146.962
16,"Tuesday, December 13, 2011","Tuesday, November 29, 2011",SO46327,272,292,2,818.7
17,"Thursday, December 15, 2011","Tuesday, November 29, 2011",SO46379,20,346,2,849.998
18,"Wednesday, January 18, 2012","Thursday, December 29, 2011",SO46609,577,242,2,780.818
19,"Thursday, January 12, 2012","Thursday, December 29, 2011",SO46611,146,230,2,28.84
20,"Friday, February 10, 2012","Sunday, January 29, 2012",SO46957,236,352,2,1242.852
21,"Thursday, February 9, 2012","Sunday, January 29, 2012",SO46974,127,420,2,141.615
22,"Sunday, February 19, 2012","Sunday, January 29, 2012",SO46976,2,356,2,1242.852
23,"Sunday, February 12, 2012","Sunday, January 29, 2012",SO47033,343,461,2,53.994
24,"Friday, February 10, 2012","Sunday, January 29, 2012",SO47066,218,368,2,1466.01
25,"Friday, March 9, 2012","Wednesday, February 29, 2012",SO47403,254,426,2,209.256
26,"Thursday, March 15, 2012","Wednesday, February 29, 2012",SO47443,20,420,2,141.615
27,"Wednesday, May 9, 2012","Monday, April 30, 2012",SO48057,343,273,2,202.332
28,"Monday, June 18, 2012","Wednesday, May 30, 2012",SO48383,542,297,2,736.146
29,"Monday, August 20, 2012","Tuesday, July 31, 2012",SO49053,236,224,2,5.187
30,"Sunday, September 16, 2012","Tuesday, August 28, 2012",SO49449,272,470,2,22.794
